k,count,Spsi_mean,Spsi_sem
6.2893212303311283e-02,1.0080000000000000e+03,1.9101480666207347e-09,5.4886588558223255e-11
6.3276707500282692e-02,1.0480000000000000e+03,1.9038095172585247e-09,5.4473047045074294e-11
6.3660202697254115e-02,1.0520000000000000e+03,1.8955828605028937e-09,5.4428841092929279e-11
6.4043697894225524e-02,1.0160000000000000e+03,1.8808717645940845e-09,5.3821281275465986e-11
6.4427193091196933e-02,1.0640000000000000e+03,1.8794179605807049e-09,5.3593598419074658e-11
6.4810688288168342e-02,1.0760000000000000e+03,1.8665786729563390e-09,5.3383594982824494e-11
6.5194183485139751e-02,1.0880000000000000e+03,1.8602655698018360e-09,5.3391766104231989e-11
6.5577678682111160e-02,1.0880000000000000e+03,1.8517868477591529e-09,5.3008559781033752e-11
6.5961173879082569e-02,1.0200000000000000e+03,1.8395072650034162e-09,5.2558441199959496e-11
6.6344669076053978e-02,1.1120000000000000e+03,1.8398201375338979e-09,5.2785624383718436e-11
6.6728164273025387e-02,1.0960000000000000e+03,1.8287583000175998e-09,5.2223428677004037e-11
6.7111659469996796e-02,1.0880000000000000e+03,1.8215670804142599e-09,5.2101342400160996e-11
6.7495154666968205e-02,1.1160000000000000e+03,1.8142324524201388e-09,5.1840539959773160e-11
6.7878649863939627e-02,1.0880000000000000e+03,1.7998926399114224e-09,5.1532690843037527e-11
6.8262145060911036e-02,1.1520000000000000e+03,1.8020093987243590e-09,5.1650141178746474e-11
6.8645640257882445e-02,1.1160000000000000e+03,1.7901823482959484e-09,5.1136454050197816e-11
6.9029135454853854e-02,1.1440000000000000e+03,1.7846989715337968e-09,5.0938033165225239e-11
6.9412630651825263e-02,1.1280000000000000e+03,1.7763458829076577e-09,5.0756683077555742e-11
6.9796125848796672e-02,1.1520000000000000e+03,1.7694656035376560e-09,5.0588731541011173e-11
7.0179621045768081e-02,1.1480000000000000e+03,1.7636093668197678e-09,5.0194809632186167e-11
7.0563116242739490e-02,1.1440000000000000e+03,1.7547970005612177e-09,5.0100626189797832e-11
7.0946611439710899e-02,1.1440000000000000e+03,1.7522573165416610e-09,5.0233026559195316e-11
7.1330106636682308e-02,1.1720000000000000e+03,1.7444067322069035e-09,4.9882367565114643e-11
7.1713601833653731e-02,1.1920000000000000e+03,1.7382086578248642e-09,4.9672620095636970e-11
7.2097097030625140e-02,1.1840000000000000e+03,1.7286225935001057e-09,4.9434194361023368e-11
7.2480592227596549e-02,1.1800000000000000e+03,1.7223951306427894e-09,4.9390817297377256e-11
7.2864087424567958e-02,1.1680000000000000e+03,1.7206340711576325e-09,4.9296560558080017e-11
7.3247582621539367e-02,1.2320000000000000e+03,1.7137788189712867e-09,4.9029550589061244e-11
7.3631077818510776e-02,1.1920000000000000e+03,1.7083139447843778e-09,4.8881102957699832e-11
7.4014573015482185e-02,1.2200000000000000e+03,1.6992809687367690e-09,4.8413387180613783e-11
7.4398068212453594e-02,1.2160000000000000e+03,1.6953427012527819e-09,4.8379018570684423e-11
7.4781563409425003e-02,1.2400000000000000e+03,1.6882719977051305e-09,4.8303469292954838e-11
7.5165058606396412e-02,1.2360000000000000e+03,1.6816631230443737e-09,4.8153460741149735e-11
7.5548553803367821e-02,1.2560000000000000e+03,1.6814010989996751e-09,4.8077612114846074e-11
7.5932049000339244e-02,1.2160000000000000e+03,1.6705033129480370e-09,4.7788585132024192e-11
7.6315544197310653e-02,1.2800000000000000e+03,1.6707015226312754e-09,4.7801240993265824e-11
7.6699039394282062e-02,1.2280000000000000e+03,1.6607917413909850e-09,4.7539940944281459e-11
7.7082534591253471e-02,1.2480000000000000e+03,1.6548536984711650e-09,4.7255701769929355e-11
7.7466029788224880e-02,1.2880000000000000e+03,1.6557568451419756e-09,4.7525376839676632e-11
7.7849524985196289e-02,1.2600000000000000e+03,1.6463614329753497e-09,4.7156717975392605e-11
7.8233020182167698e-02,1.3120000000000000e+03,1.6449453761473313e-09,4.7121960672134391e-11
7.8616515379139107e-02,1.2480000000000000e+03,1.6347306089212581e-09,4.6824704467776007e-11
7.9000010576110516e-02,1.3040000000000000e+03,1.6331745490461243e-09,4.6626108554830731e-11
7.9383505773081925e-02,1.2920000000000000e+03,1.6284241031984025e-09,4.6590522615611408e-11
7.9767000970053348e-02,1.3280000000000000e+03,1.6214994871706507e-09,4.6385797054892893e-11
8.0150496167024757e-02,1.3440000000000000e+03,1.6216950388064703e-09,4.6313691846458843e-11
8.0533991363996166e-02,1.2760000000000000e+03,1.6108089594812565e-09,4.6046207640251313e-11
8.0917486560967575e-02,1.3200000000000000e+03,1.6116242579784211e-09,4.6071116889840081e-11
8.1300981757938984e-02,1.3520000000000000e+03,1.6054762723115817e-09,4.5992621643815488e-11
8.1684476954910393e-02,1.3240000000000000e+03,1.5981215192661134e-09,4.5736071064029475e-11
8.2067972151881802e-02,1.3760000000000000e+03,1.6003183840521574e-09,4.5813365405177296e-11
8.2451467348853211e-02,1.2960000000000000e+03,1.5884637984712090e-09,4.5404138002747381e-11
8.2834962545824620e-02,1.3920000000000000e+03,1.5929166146086518e-09,4.5471651867994113e-11
8.3218457742796029e-02,1.3720000000000000e+03,1.5840808772455603e-09,4.5283814380293051e-11
8.3601952939767438e-02,1.3200000000000000e+03,1.5791305084891419e-09,4.5218102311388810e-11
8.3985448136738861e-02,1.4320000000000000e+03,1.5780389730322262e-09,4.5112955616620210e-11
8.4368943333710270e-02,1.3560000000000000e+03,1.5685046607184593e-09,4.4743907634415152e-11
8.4752438530681679e-02,1.4240000000000000e+03,1.5729451527687296e-09,4.4925029494401322e-11
8.5135933727653088e-02,1.3840000000000000e+03,1.5657648644581938e-09,4.4669546015048356e-11
8.5519428924624497e-02,1.3760000000000000e+03,1.5614236078067053e-09,4.4668845837984830e-11
8.5902924121595906e-02,1.3800000000000000e+03,1.5600108040003835e-09,4.4565547645056485e-11
8.6286419318567315e-02,1.4480000000000000e+03,1.5517123916212234e-09,4.4374880176253426e-11
8.6669914515538723e-02,1.4400000000000000e+03,1.5549458810555790e-09,4.4428673514540034e-11
8.7053409712510132e-02,1.4120000000000000e+03,1.5449638511368981e-09,4.4210058471011643e-11
8.7436904909481541e-02,1.4320000000000000e+03,1.5449897676114544e-09,4.4269979816430502e-11
8.7820400106452950e-02,1.4480000000000000e+03,1.5436907552576302e-09,4.4166275696332365e-11
8.8203895303424373e-02,1.4440000000000000e+03,1.5335214292806027e-09,4.3929455427593640e-11
8.8587390500395782e-02,1.4560000000000000e+03,1.5391095942250644e-09,4.3861976230755248e-11
8.8970885697367191e-02,1.4480000000000000e+03,1.5289881829463833e-09,4.3553507079086948e-11
8.9354380894338600e-02,1.4880000000000000e+03,1.5320034610168159e-09,4.3785466678455572e-11
8.9737876091310009e-02,1.4600000000000000e+03,1.5261041556771383e-09,4.3674519726543674e-11
9.0121371288281418e-02,1.4560000000000000e+03,1.5227660932206679e-09,4.3499619217056896e-11
9.0504866485252827e-02,1.4720000000000000e+03,1.5206343118240062e-09,4.3394763794613996e-11
9.0888361682224236e-02,1.4920000000000000e+03,1.5152205147580422e-09,4.3404474079175516e-11
9.1271856879195645e-02,1.5200000000000000e+03,1.5167977053990530e-09,4.3265998508619012e-11
9.1655352076167054e-02,1.4960000000000000e+03,1.5106866897003921e-09,4.3201703123147293e-11
9.2038847273138463e-02,1.4880000000000000e+03,1.5106082605327925e-09,4.3305515400395114e-11
9.2422342470109886e-02,1.5240000000000000e+03,1.5085549404731366e-09,4.3190239270394696e-11
9.2805837667081295e-02,1.4960000000000000e+03,1.5005370936129733e-09,4.2896881381222804e-11
9.3189332864052704e-02,1.5360000000000000e+03,1.5044730972337474e-09,4.2891521740460748e-11
9.3572828061024113e-02,1.5560000000000000e+03,1.4978860282044134e-09,4.2805523037973683e-11
9.3956323257995522e-02,1.5360000000000000e+03,1.4973344576778567e-09,4.2797151728475638e-11
