mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
10,2.6998061866787282e-01,2.6998061866787282e-01,3.8181025249798456e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.0772962151413479e-01,6.0676871696003165e-01,2.3690513107555854e-03,1.2168061332775988e-03,10,1152
11,2.9452431127404310e-01,2.9452431127404310e-01,4.1652027545234682e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.1758250563660644e-01,6.1401907674567768e-01,2.5802025275755555e-03,2.4324544220786365e-03,10,1152
12,3.1906800388021339e-01,3.1906800388021339e-01,4.5123029840670908e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.0415136806607228e-01,6.0699549401206476e-01,2.4098212686118814e-03,2.4743268489244089e-03,10,1152
13,3.4361169648638362e-01,3.4361169648638362e-01,4.8594032136107129e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.1483642171238140e-01,6.1704431269809956e-01,2.5338848955694352e-03,1.2774978020551450e-03,10,1152
14,3.6815538909255385e-01,3.6815538909255385e-01,5.2065034431543344e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.0055993508345851e-01,6.0098236125215254e-01,2.4625282732423774e-03,9.8648435617510973e-04,10,1152
15,3.9269908169872414e-01,3.9269908169872414e-01,5.5536036726979576e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.9832657421565683e-01,5.9896203134341175e-01,2.4775450947587237e-03,9.5837624247732808e-04,10,1152
16,4.1724277430489443e-01,4.1724277430489443e-01,5.9007039022415808e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.1434715626486980e-01,6.1681131690976077e-01,2.5332478893318093e-03,2.3623251754049104e-03,10,1152
17,4.4178646691106466e-01,4.4178646691106466e-01,6.2478041317852018e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.7417972966082687e-01,5.7427624137533617e-01,2.4797266209593918e-03,1.2491333823285867e-03,10,1152
18,4.6633015951723489e-01,4.6633015951723489e-01,6.5949043613288238e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.9501590210873667e-01,5.9120069991152335e-01,2.4629949827762363e-03,2.0490764408707903e-03,10,1152
19,4.9087385212340517e-01,4.9087385212340517e-01,6.9420045908724470e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.9421181957464619e-01,5.9643230161272132e-01,2.5154457593037556e-03,4.0174729487784059e-03,10,1152
20,5.1541754472957546e-01,5.1541754472957546e-01,7.2891048204160702e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.8849659469515503e-01,5.9449325547721366e-01,2.4006229629805905e-03,2.9920596418058381e-03,10,1152
21,5.3996123733574564e-01,5.3996123733574564e-01,7.6362050499596912e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.7787510624797633e-01,5.7656650110495311e-01,2.4861060196131116e-03,2.3921558362080646e-03,10,1152
22,5.6450492994191592e-01,5.6450492994191592e-01,7.9833052795033133e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.7796046261921952e-01,5.8117359142150227e-01,2.4299632701954886e-03,2.2369757643479629e-03,10,1152
23,5.8904862254808621e-01,5.8904862254808621e-01,8.3304055090469364e-01,1.0000000000000000e+02,5.0000000000000000e+03,6.0272242150209066e-01,6.0360767036035379e-01,2.5099501275850063e-03,7.9833115519312701e-04,10,1152
24,6.1359231515425650e-01,6.1359231515425650e-01,8.6775057385905596e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.8139184626506735e-01,5.8392917299031599e-01,2.4289485025838424e-03,2.9618771028070588e-03,10,1152
25,6.3813600776042678e-01,6.3813600776042678e-01,9.0246059681341817e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.7107870804850280e-01,5.7839080157866973e-01,2.3669785314145539e-03,4.2775477914622244e-03,10,1152
26,6.6267970036659696e-01,6.6267970036659696e-01,9.3717061976778027e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.8768175121759769e-01,5.8630361024266953e-01,2.4721004191973397e-03,1.6489645599504700e-03,10,1152
27,6.8722339297276724e-01,6.8722339297276724e-01,9.7188064272214258e-01,1.0000000000000000e+02,5.0000000000000000e+03,5.8290121099462844e-01,5.8488860654201957e-01,2.3604165117933349e-03,1.4200862352675967e-03,10,1152
28,7.1176708557893753e-01,7.1176708557893753e-01,1.0065906656765049e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.8626974190598757e-01,5.8646052369586732e-01,2.4120261950689604e-03,1.0813414366247359e-03,10,1152
29,7.3631077818510771e-01,7.3631077818510771e-01,1.0413006886308669e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.7961284761771259e-01,5.7798761710241120e-01,2.3218246051070206e-03,2.9987142220529277e-03,10,1152
30,7.6085447079127799e-01,7.6085447079127799e-01,1.0760107115852293e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.6794070681686148e-01,5.6918697590889533e-01,2.3956961018290410e-03,1.8963043677436783e-03,10,1152
31,7.8539816339744828e-01,7.8539816339744828e-01,1.1107207345395915e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.7181103513935883e-01,5.7169311737705686e-01,2.3225031434093183e-03,1.9904602704906510e-03,10,1152
32,8.0994185600361857e-01,8.0994185600361857e-01,1.1454307574939537e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.7111147184504030e-01,5.7289510996523541e-01,2.3313357966678184e-03,1.5411641255562924e-03,10,1152
33,8.3448554860978885e-01,8.3448554860978885e-01,1.1801407804483162e+00,1.0000000000000000e+02,5.0000000000000000e+03,5.9028420775686019e-01,5.8704386914871076e-01,2.4588993791812798e-03,1.5591998824133805e-03,10,1152
