nk,k,amplitude,time,u_mean,u_sem,n_samples
20,0.49087385212340517,0.020109385,49699.999993312005,0.2368031828897551,0.0007902950986649344,16
20,0.49087385212340517,0.020109385,49799.999993259618,0.23805123289122976,0.0010403551195713101,16
20,0.49087385212340517,0.020109385,49899.999993207231,0.23792092506942256,0.00075243249413695817,16
20,0.49087385212340517,0.020109385,49999.999993154845,0.23816704674721967,0.00069527085723517152,16
24,0.58904862254808621,0.027999133999999998,99.99999999998154,0.23356756881573959,0.00038875787748092212,16
24,0.58904862254808621,0.027999133999999998,199.9999999998906,0.24487187721346046,0.00051620712369341269,16
24,0.58904862254808621,0.027999133999999998,299.99999999979968,0.24269106003395413,0.00073827442091445338,16
24,0.58904862254808621,0.027999133999999998,399.99999999970873,0.24294391938836535,0.00065895448284653631,16
24,0.58904862254808621,0.027999133999999998,499.99999999961778,0.24398106140005563,0.00058433749575904112,16
24,0.58904862254808621,0.027999133999999998,599.99999999952684,0.24197747456833191,0.00067271971417282961,16
24,0.58904862254808621,0.027999133999999998,699.99999999943589,0.24146357993456072,0.0005884322998579738,16
24,0.58904862254808621,0.027999133999999998,799.99999999934494,0.24206315489776664,0.00053512544263961594,16
24,0.58904862254808621,0.027999133999999998,899.99999999925399,0.24173887404104052,0.00071821520339641063,16
24,0.58904862254808621,0.027999133999999998,999.99999999916304,0.24078784829179026,0.00072889060377746655,16
24,0.58904862254808621,0.027999133999999998,1100.0000000008001,0.2421641893480786,0.0006905388392757164,16
24,0.58904862254808621,0.027999133999999998,1200.0000000029829,0.24139730133139789,0.00090782102235890212,16
24,0.58904862254808621,0.027999133999999998,1300.0000000051657,0.24250517159362678,0.00079362040731400119,16
24,0.58904862254808621,0.027999133999999998,1400.0000000073485,0.24162515448161964,0.0005051343058790226,16
24,0.58904862254808621,0.027999133999999998,1500.0000000095313,0.24241679621346793,0.00062086921913213358,16
24,0.58904862254808621,0.027999133999999998,1600.0000000117141,0.24196288785069314,0.00043709279797224349,16
24,0.58904862254808621,0.027999133999999998,1700.0000000138969,0.2419389920721518,0.00069369897849127344,16
24,0.58904862254808621,0.027999133999999998,1800.0000000160796,0.24189716890667134,0.00063116963681727404,16
24,0.58904862254808621,0.027999133999999998,1900.0000000182624,0.24101863554555253,0.00064650083831699486,16
24,0.58904862254808621,0.027999133999999998,2000.0000000204452,0.24113861297093142,0.00048996747088063636,16
24,0.58904862254808621,0.027999133999999998,2100.0000000226278,0.24186014781925622,0.00035208627678604926,16
24,0.58904862254808621,0.027999133999999998,2200.0000000248106,0.2407462337982893,0.00058057878947520027,16
24,0.58904862254808621,0.027999133999999998,2300.0000000269933,0.24122027082058309,0.00063712144024205553,16
24,0.58904862254808621,0.027999133999999998,2400.0000000291761,0.24152853706826044,0.00074642805736375854,16
24,0.58904862254808621,0.027999133999999998,2500.0000000313589,0.24126483615367417,0.00058586509842827993,16
24,0.58904862254808621,0.027999133999999998,2600.0000000335417,0.24128282869966255,0.00053148008640079079,16
24,0.58904862254808621,0.027999133999999998,2700.0000000357245,0.24220180726564788,0.00051690240350727378,16
24,0.58904862254808621,0.027999133999999998,2800.0000000379073,0.24145702540175348,0.00067473311889233007,16
24,0.58904862254808621,0.027999133999999998,2900.0000000400901,0.24121115631704276,0.00061370692841277721,16
24,0.58904862254808621,0.027999133999999998,3000.0000000422729,0.24208345969985984,0.00072022091247818973,16
24,0.58904862254808621,0.027999133999999998,3100.0000000444556,0.24197364880058966,0.00048655443013175074,16
24,0.58904862254808621,0.027999133999999998,3200.0000000466384,0.24100495880837108,0.00066509239311707724,16
24,0.58904862254808621,0.027999133999999998,3300.0000000488212,0.2419173566073286,0.00053109145470756091,16
24,0.58904862254808621,0.027999133999999998,3400.000000051004,0.2406340567540442,0.00063736553341169002,16
24,0.58904862254808621,0.027999133999999998,3500.0000000531868,0.24113772151070065,0.00066038463064899328,16
24,0.58904862254808621,0.027999133999999998,3600.0000000553696,0.24130752440749262,0.00072000841946102869,16
24,0.58904862254808621,0.027999133999999998,3700.0000000575524,0.24187107902200089,0.00059178490789831689,16
24,0.58904862254808621,0.027999133999999998,3800.0000000597352,0.24152559671644661,0.00068121004286294238,16
24,0.58904862254808621,0.027999133999999998,3900.0000000619179,0.24182883066090763,0.00052206353564997361,16
24,0.58904862254808621,0.027999133999999998,4000.0000000641007,0.24150828714638531,0.00060775804833164556,16
24,0.58904862254808621,0.027999133999999998,4100.0000000662831,0.24104369240186413,0.00066012809581790684,16
24,0.58904862254808621,0.027999133999999998,4200.0000000684659,0.24192258125838992,0.00073516791931636642,16
24,0.58904862254808621,0.027999133999999998,4300.0000000706486,0.24082524910359526,0.00077961076872407834,16
24,0.58904862254808621,0.027999133999999998,4400.0000000728314,0.24121509100606317,0.00052426087390604087,16
24,0.58904862254808621,0.027999133999999998,4500.0000000750142,0.24096349882013018,0.00056413520532406516,16
24,0.58904862254808621,0.027999133999999998,4600.000000077197,0.24273784540443738,0.00063594497001389283,16
24,0.58904862254808621,0.027999133999999998,4700.0000000793798,0.24133022352616784,0.00040626819342438403,16
