figure,L,n,k,S_k_L,k_digitized,pdf_x,pdf_top,cluster_count
Yokota 2026 Fig. A.4,128,79,5.4841836267892328e+00,5.6033616265147543e+00,5.4841909023698694e+00,332.166934,413.847051,1
Yokota 2026 Fig. A.4,128,80,5.5536036726979576e+00,6.0353092803160306e+00,5.5536066575515521e+00,333.864558,405.553596,1
Yokota 2026 Fig. A.4,128,81,5.6230237186066825e+00,6.5253075262913063e+00,5.6229746550757307e+00,335.561015,396.145561,1
Yokota 2026 Fig. A.4,128,82,5.6924437645154065e+00,6.8716892783332204e+00,5.6924381679149194e+00,337.259807,389.494983,1
Yokota 2026 Fig. A.4,128,83,5.7618638104241313e+00,7.1455306687409914e+00,5.7618539230965995e+00,338.957431,384.237190,1
Yokota 2026 Fig. A.4,128,84,5.8312838563328553e+00,7.1842412317829281e+00,5.8313651935932915e+00,340.657392,383.493942,1
Yokota 2026 Fig. A.4,128,85,5.9007039022415801e+00,6.8811152546767644e+00,5.9006854334599668e+00,342.352680,389.314003,1
Yokota 2026 Fig. A.4,128,86,5.9701239481503041e+00,6.4809840841321797e+00,5.9701011886416504e+00,344.050305,396.996577,1
Yokota 2026 Fig. A.4,128,87,6.0395439940590290e+00,5.9428492987714199e+00,6.0396124591383415e+00,345.750265,407.328840,1
Yokota 2026 Fig. A.4,128,88,6.1089640399677538e+00,5.3108208073089456e+00,6.1090282143200243e+00,347.447890,419.463876,1
Yokota 2026 Fig. A.4,128,89,6.1783840858764778e+00,4.5901454315282146e+00,6.1783484541867004e+00,349.143178,433.300944,1
Yokota 2026 Fig. A.4,128,90,6.2478041317852027e+00,3.9209621206921534e+00,6.2478119670258847e+00,350.841971,446.149357,1
Yokota 2026 Fig. A.4,128,91,6.3172241776939266e+00,3.3262409724923176e+00,6.3172754798650725e+00,352.540763,457.568086,1
Yokota 2026 Fig. A.4,128,92,6.3866442236026515e+00,2.7753551900066351e+00,6.3866912350467571e+00,354.238388,468.145170,1
Yokota 2026 Fig. A.4,128,93,6.4560642695113755e+00,2.3227863064052410e+00,6.4560592325709347e+00,355.934844,476.834556,1
Yokota 2026 Fig. A.4,128,94,6.5254843154201003e+00,1.9306473876470915e+00,6.5255108059957481e+00,357.633345,484.363678,1
Yokota 2026 Fig. A.4,128,95,6.5949043613288243e+00,1.6525048235679924e+00,6.5949265611774308e+00,359.330969,489.704054,1
Yokota 2026 Fig. A.4,128,96,6.6643244072375492e+00,1.4046535038550423e+00,6.6644258922597448e+00,361.030638,494.462834,1
Yokota 2026 Fig. A.4,128,97,6.7337444531462740e+00,1.2139986425373861e+00,6.7337461321264200e+00,362.725926,498.123434,1
Yokota 2026 Fig. A.4,128,98,6.8031644990549980e+00,1.0717243588277041e+00,6.8031618873081028e+00,364.423551,500.855120,1
Yokota 2026 Fig. A.4,128,99,6.8725845449637228e+00,9.4244511046542634e-01,6.8726254001472906e+00,366.122343,503.337300,1
Yokota 2026 Fig. A.4,128,100,6.9420045908724468e+00,8.6569508949339224e-01,6.9419933976714683e+00,367.818800,504.810911,1
Yokota 2026 Fig. A.4,128,101,7.0114246367811717e+00,7.8812143952046498e-01,7.0114091528531537e+00,369.516424,506.300336,1
Yokota 2026 Fig. A.4,128,102,7.0808446826898956e+00,7.3629382201987392e-01,7.0808726656923398e+00,371.215217,507.295434,1
Yokota 2026 Fig. A.4,128,103,7.1502647285986205e+00,6.9090271263736625e-01,7.1503361785315249e+00,372.914009,508.166949,1
Yokota 2026 Fig. A.4,128,104,7.2196847745073445e+00,6.5515111304308016e-01,7.2196564183982010e+00,374.609298,508.853385,1
Yokota 2026 Fig. A.4,128,105,7.2891048204160693e+00,6.2784933690239486e-01,7.2891199312373880e+00,376.308090,509.377583,1
