k,S_mean,S_std,S_sem,count,Ls,FNS_BA_fit_kmax3p6,ratio_S_to_FNS
1.4578209640832138e+00,1.6705026424763776e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.6219368346770333e+00,1.0299430944294541e+00
1.5272410099919385e+00,1.6622892310508142e+00,3.6992781951364615e-03,2.6157846972765242e-03,2,64;128,1.6158530838218239e+00,1.0287378522799606e+00
1.5966610559006629e+00,1.6396318073318257e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.6100183349587274e+00,1.0183932516357694e+00
1.6660811018093873e+00,1.6234795274809937e+00,2.8254995900892699e-02,1.6313029489332172e-02,3,32;64;128,1.6044120664711434e+00,1.0118843914280629e+00
1.7355011477181117e+00,1.6345070046596042e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5990162216851649e+00,1.0221953864464466e+00
1.8049211936268361e+00,1.6289856398758453e+00,1.7601230362876974e-02,1.2445949346816865e-02,2,64;128,1.5938148273202497e+00,1.0220670632200919e+00
1.8743412395355608e+00,1.5926849542809629e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5887936832220380e+00,1.0024491984705235e+00
1.9437612854442852e+00,1.5872805244788133e+00,2.3897209756416373e-02,1.3797060485747945e-02,3,32;64;128,1.5839401079438382e+00,1.0021089285625271e+00
2.0131813313530098e+00,1.5720942292586577e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5792427285107866e+00,9.9547346388045754e-01
2.0826013772617342e+00,1.5801856215729790e+00,8.5956988965765792e-03,6.0780769788070224e-03,2,64;128,1.5746913054515690e+00,1.0034891385393370e+00
2.1520214231704586e+00,1.5648035873618689e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5702765862156389e+00,9.9651462748549291e-01
2.2214414690791831e+00,1.5559012763707443e+00,7.8265465464626913e-03,4.5186587554253707e-03,3,32;64;128,1.5659901816132784e+00,9.9355749138085869e-01
2.2908615149879075e+00,1.5531507622381386e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5618244610632548e+00,9.9444643169488378e-01
2.3602815608966319e+00,1.5392253311674935e+00,1.7234538063650294e-02,1.2186658735424792e-02,2,64;128,1.5577724633077275e+00,9.8809381178760114e-01
2.4297016068053563e+00,1.5181007725334992e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5538278199271951e+00,9.7700707444189672e-01
2.4991216527140807e+00,1.5198090400909043e+00,1.4530940583962437e-02,8.3894424577291710e-03,3,32;64;128,1.5499846895105875e+00,9.8053164678083937e-01
2.5685416986228056e+00,1.5072715764106563e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5462377007440908e+00,9.7479939577551178e-01
2.6379617445315300e+00,1.5123887528884219e+00,1.3146997434037565e-02,9.2963310378501012e-03,2,64;128,1.5425819030041323e+00,9.8042687389440375e-01
2.7073817904402544e+00,1.5060818900760322e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5390127232953290e+00,9.7860262444823365e-01
2.7768018363489788e+00,1.4809307007710080e+00,1.6894463328448277e-02,9.7540229504938739e-03,3,32;64;128,1.5355259285781371e+00,9.6444525827207417e-01
2.8462218822577032e+00,1.4794817238249933e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5321175926948629e+00,9.6564502025116250e-01
2.9156419281664276e+00,1.4828372493841848e+00,5.1768324596846143e-04,3.6605733373096250e-04,2,64;128,1.5287840672351884e+00,9.6994551497773085e-01
2.9850619740751521e+00,1.4793902094915621e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5255219557900810e+00,9.6976002467652000e-01
3.0544820199838769e+00,1.4694659884437737e+00,2.1102082900217048e-02,1.2183293242902113e-02,3,32;64;128,1.5223280911309851e+00,9.6527548627974247e-01
3.1239020658926013e+00,1.4627040960290418e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5191995149234989e+00,9.6281237695280464e-01
3.1933221118013257e+00,1.4802977266314348e+00,1.3448979327514850e-02,9.5098644825234429e-03,2,64;128,1.5161334596443958e+00,9.7636373448194580e-01
3.2627421577100502e+00,1.4673408222562856e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5131273324203363e+00,9.6974047776216399e-01
3.3321622036187746e+00,1.4609297347863774e+00,2.2244511580687857e-02,1.2842874749101882e-02,3,32;64;128,1.5101787005477916e+00,9.6738865026797827e-01
3.4015822495274990e+00,1.4540102343529568e+00,0.0000000000000000e+00,0.0000000000000000e+00,1,128,1.5072852784881494e+00,9.6465496950343133e-01
