k,S_mean,S_std,S_sem,count,Ls,FNS_eta0_fit_kmax1p0,ratio_S_to_FNS
2.2214414690791831e+00,2.8730490030060779e-01,3.0402155830454745e-03,1.7552692852657998e-03,3,32;64;128,3.1120953726248424e-01,9.2318796791335322e-01
2.2908615149879075e+00,2.8599088987778776e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.0973069275765813e-01,9.2335340528087395e-01
2.3602815608966319e+00,2.8304060174063728e-01,8.4068655629589064e-03,5.9445516480919050e-03,2,64;128,3.0828922019596566e-01,9.1810087151513453e-01
2.4297016068053563e+00,2.8919124693156911e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.0688305623643874e-01,9.4234999637373618e-01
2.4991216527140807e+00,2.7971181909275095e-01,4.1033974137312844e-03,2.3690976014097715e-03,3,32;64;128,3.0551030673272972e-01,9.1555608085409657e-01
2.5685416986228056e+00,2.8334449126399675e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.0416922857450673e-01,9.3153568686712518e-01
2.6379617445315300e+00,2.8240656873941633e-01,6.6172622941741343e-03,4.6791110411005810e-03,2,64;128,3.0285821391222023e-01,9.3247122173568797e-01
2.7073817904402544e+00,2.7858464931280291e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,3.0157577639839511e-01,9.2376334943022775e-01
2.7768018363489788e+00,2.7766182281206120e-01,7.5038373074248401e-03,4.3323424893968879e-03,3,32;64;128,3.0032053914295714e-01,9.2455155949187329e-01
2.8462218822577032e+00,2.8084248939996603e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.9909122413185146e-01,9.3898605756536457e-01
2.9156419281664276e+00,2.7837921211882555e-01,6.0807526005238702e-03,4.2997413985481616e-03,2,64;128,2.9788664290006911e-01,9.3451391243551785e-01
2.9850619740751521e+00,2.7686238989747824e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.9670568828424515e-01,9.3312127414369972e-01
3.0544820199838774e+00,2.7473888254418322e-01,5.0472779150874964e-03,2.9140472629506195e-03,3,32;64;128,2.9554732710783355e-01,9.2959352815916974e-01
3.1239020658926013e+00,2.7524252090471135e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.9441059367474109e-01,9.3489339995962839e-01
3.1933221118013257e+00,2.7237624542196670e-01,2.8635508735486239e-03,2.0248362409588938e-03,2,64;128,2.9329458396619662e-01,9.2867806059916591e-01
3.2627421577100502e+00,2.7662347891151096e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.9219845045130233e-01,9.4669728222125837e-01
3.3321622036187741e+00,2.7442471022197718e-01,3.1218526958398233e-03,1.8024024943134810e-03,3,32;64;128,2.9112139743476867e-01,9.4264699414087993e-01
3.4015822495274990e+00,2.8211843158875816e-01,0.0000000000000000e+00,0.0000000000000000e+00,1,128,2.9006267687625720e-01,9.7261197002988387e-01
