nk,k,coord,n_samples,psi[0]_mean,psi[0]_sem,Jpsi[0]_y_mean,Jpsi[0]_y_sem,vx_mean,vx_sem,pi_xy_mean,pi_xy_sem
1,0.0015339807878856412,1600.0,72,0.010688844231263072,5.485970008565637e-05,1.4362865038307555e-05,5.753005360859779e-08,3.1659162647110864e-05,4.18375433753575e-05,-4.555381724696488e-07,4.5826020406877487e-07
1,0.0015339807878856412,1621.3333333333333,72,0.010255649635522937,5.400183022259905e-05,1.4738183810009963e-05,5.757357712365124e-08,2.5666385317264553e-05,4.2899987353359164e-05,-1.4824454789273594e-06,4.38151695446179e-07
1,0.0015339807878856412,1642.6666666666665,72,0.009812284496183954,5.311494292026119e-05,1.5097592198474925e-05,5.761073560763628e-08,1.5859844010580364e-05,4.356260594119139e-05,-8.175758836340687e-07,4.1089605763167556e-07
1,0.0015339807878856412,1664.0,72,0.009358910008471652,5.217562324863498e-05,1.5440499984174876e-05,5.761963922275441e-08,2.653862227343276e-05,4.3061297279006885e-05,-1.621793036329416e-07,4.0973353124967334e-07
1,0.0015339807878856412,1685.3333333333333,72,0.008895940817195112,5.118902293288176e-05,1.5767500247060477e-05,5.762823147704928e-08,3.260480880908365e-05,4.427201462917542e-05,-2.1768030523395947e-07,5.212495312544912e-07
1,0.0015339807878856412,1706.6666666666665,72,0.0084237145622326,5.019607072345152e-05,1.6077845547774716e-05,5.764600875874755e-08,1.5252052371430876e-05,4.509362281809388e-05,9.357218237695996e-09,4.722327601465109e-07
1,0.0015339807878856412,1728.0,72,0.007942535044936538,4.9237428906070846e-05,1.6370528673093605e-05,5.765314336961054e-08,7.668387428310941e-06,4.411781094396041e-05,3.309511236768641e-07,4.6863318269523113e-07
1,0.0015339807878856412,1749.3333333333333,72,0.007453306966615685,4.8314780897599905e-05,1.6645961082146864e-05,5.7633839348741335e-08,1.8287876085166753e-05,4.3699585234041515e-05,2.5959804787461317e-07,5.650628642142049e-07
1,0.0015339807878856412,1770.6666666666665,72,0.006956717538399309,4.741251898366748e-05,1.6904018580059555e-05,5.7608868842554486e-08,2.0751034293540814e-05,4.3648858659924074e-05,3.4728806464485574e-09,4.518159436309282e-07
1,0.0015339807878856412,1792.0,72,0.006452810763223013,4.6557236979828585e-05,1.7143935137863363e-05,5.761121955825229e-08,2.2709138200833158e-05,4.188622356158759e-05,-1.427193497167013e-07,4.238668712491134e-07
1,0.0015339807878856412,1813.3333333333333,72,0.005942086765325896,4.577439322871432e-05,1.7365615137622115e-05,5.760660600641157e-08,3.5079726373841725e-05,4.0938474687585924e-05,-1.7333050559148563e-07,5.365098625642108e-07
1,0.0015339807878856412,1834.6666666666665,72,0.005425255242981802,4.5023195834957706e-05,1.7568522496853257e-05,5.7558521429464527e-08,3.83958549941907e-05,4.200994336691881e-05,-5.245140195772449e-07,4.825639580941885e-07
1,0.0015339807878856412,1856.0,72,0.004902460096372862,4.4280584574569194e-05,1.7752253675185335e-05,5.752950575228362e-08,3.541999899413119e-05,4.183958851631073e-05,-8.531143149837022e-07,5.574666983082994e-07
1,0.0015339807878856412,1877.3333333333333,72,0.004374124365167115,4.359750455491928e-05,1.7917765688914038e-05,5.754661096322932e-08,4.320324915284628e-05,3.9293726112269186e-05,-2.1541144351576063e-07,6.005429023285649e-07
1,0.0015339807878856412,1898.6666666666665,72,0.0038410483916373503,4.2999413796391445e-05,1.806487821711697e-05,5.752518893789615e-08,4.966812234038136e-05,3.816990233069602e-05,5.412253826852002e-07,5.572907213584184e-07
1,0.0015339807878856412,1920.0,72,0.003303607395141487,4.2462429857577255e-05,1.8192070223845363e-05,5.74508564399616e-08,4.61171218572331e-05,3.8840295518882356e-05,3.800486863834039e-07,5.613588454102e-07
1,0.0015339807878856412,1941.3333333333333,72,0.0027622926222370305,4.199642009158411e-05,1.8299691823485254e-05,5.740478619528208e-08,4.228590544532478e-05,3.972589616541839e-05,2.6695515029592995e-07,5.368262130503486e-07
