nk,k,time,steady,n_samples,psi[0]_sin_mean,psi[0]_sin_sem,psi[0]_cos_mean,psi[0]_cos_sem,psi[0]_amp_mean,psi[0]_amp_sem,psi[0]_mean_mean,psi[0]_mean_sem,Jpsi[0]_y_sin_mean,Jpsi[0]_y_sin_sem,Jpsi[0]_y_cos_mean,Jpsi[0]_y_cos_sem,Jpsi[0]_y_amp_mean,Jpsi[0]_y_amp_sem,Jpsi[0]_y_mean_mean,Jpsi[0]_y_mean_sem,vx_sin_mean,vx_sin_sem,vx_cos_mean,vx_cos_sem,vx_amp_mean,vx_amp_sem,vx_mean_mean,vx_mean_sem,pi_xy_sin_mean,pi_xy_sin_sem,pi_xy_cos_mean,pi_xy_cos_sem,pi_xy_amp_mean,pi_xy_amp_sem,pi_xy_mean_mean,pi_xy_mean_sem
10,0.015339807878856412,7320000.0,0,72,0.02421938967951143,3.655422361912762e-05,5.099090257319046e-06,2.1073349475451097e-05,0.02422004063477367,3.6558887198569234e-05,1.01643953670516e-20,2.1447374757789277e-20,7.820014409083253e-09,6.585555579862246e-08,-0.00018403792789921004,7.997029711939007e-08,0.00018403876536137337,7.994692227180979e-08,-5.374192705840784e-08,2.6250907520569085e-07,7.0084395898801435e-06,3.5095491215679876e-05,2.7586968590458632e-05,3.386618958547276e-05,0.0003603987502748867,2.367752045335081e-05,1.0509482864081128e-21,3.2947423132308017e-21,3.3742207098364687e-07,8.808595240340135e-07,-3.425922026973162e-07,9.512001945543509e-07,9.771924437240285e-06,5.822501635474112e-07,7.107626004159351e-23,1.8093818539741716e-22
10,0.015339807878856412,7360000.0,0,72,0.024312712838787845,3.4574182081107344e-05,-1.4150910296909464e-05,2.4399746567845303e-05,0.02431358704898417,3.456609951447041e-05,-2.315223389161754e-20,1.87440906661225e-20,5.550836325815565e-08,5.981578451990085e-08,-0.00018396365011251958,9.105762228978291e-08,0.00018396434882697601,9.106051935231053e-08,-1.3735892418808475e-07,2.4801917203186367e-07,-2.648412355495223e-05,3.521262157367441e-05,1.5110683102679324e-05,3.2517129673671e-05,0.00036195526950864377,2.1567414022506622e-05,-2.572470432401949e-21,4.1599396294008654e-21,-3.0961573120760774e-07,9.604781630851705e-07,-3.1135605547873417e-07,9.67467884042255e-07,1.0025772289150572e-05,6.674639358087619e-07,-2.3773783531153688e-22,1.6823860308856458e-22
10,0.015339807878856412,7400000.0,0,72,0.024235713456002724,3.460377974615756e-05,-8.482553015996174e-06,2.3566510060043942e-05,0.024236529387188184,3.459440623779508e-05,-5.1449408648039e-21,1.778327475821156e-20,3.169887075471166e-09,5.429743900627701e-08,-0.0001843141191508748,8.151389771544293e-08,0.0001843146867001646,8.152409795322264e-08,-3.227710043235539e-07,2.522193170256226e-07,-2.6534733457756533e-05,3.2094437838403935e-05,-3.6474178830286974e-05,3.058059808008412e-05,0.000339916225555683,1.9144541994606932e-05,2.196011344733377e-22,3.7036951551496174e-21,-1.6932747939994393e-06,9.334336257046494e-07,1.7957129532785331e-06,9.362421337791614e-07,9.933890570943641e-06,6.661510951972425e-07,-3.333231505398865e-23,1.4782262188085634e-22
10,0.015339807878856412,7440000.0,0,72,0.024221664312157463,4.0028236610270206e-05,7.170885626097002e-07,2.0333576120332532e-05,0.02422227045423322,4.0026805131271616e-05,-8.470329472542999e-21,1.973651119249782e-20,-2.4433419483228815e-08,6.797251539291714e-08,-0.00018404436311595437,8.315580724025542e-08,0.00018404525535063647,8.31738716957179e-08,7.337270390190684e-08,2.2142375967226076e-07,-2.8957883164672823e-05,3.8161460554844535e-05,-4.4211797396410926e-05,3.403066524876819e-05,0.00037384242415428964,2.6178233783179877e-05,-6.588034034200119e-22,3.606011205546407e-21,-4.2832254825963274e-07,1.0102762406001642e-06,-6.563987727497994e-07,1.014178280284321e-06,1.0790740313194175e-05,6.464263121568627e-07,-6.176281907062615e-23,1.7738482483191702e-22
10,0.015339807878856412,7480000.0,0,72,0.0242178795238944,3.4531512272213336e-05,-4.276883397592777e-05,2.312016546738685e-05,0.02421870137181779,3.452624119367652e-05,-4.64299541457913e-21,1.939578199051675e-20,6.762244297924116e-08,6.078377497182217e-08,-0.00018399618233422722,8.321782215003955e-08,0.0001839969070802865,8.323412188404293e-08,2.976154605519743e-07,2.4531918753673317e-07,-4.520648014997639e-05,3.929156790958744e-05,-1.9848764736174807e-05,3.1123899612862875e-05,0.0003770891582208088,2.332580056464691e-05,-5.19199825076247e-21,3.0200832124960434e-21,-4.42990383298671e-07,1.0029744784198481e-06,4.1425853517782963e-07,8.826165877774952e-07,9.843348734968333e-06,6.522895248207293e-07,-2.338163864816559e-22,1.7809041340856044e-22
10,0.015339807878856412,7520000.0,0,72,0.024217749859740838,3.713933379165757e-05,-2.9802017360481996e-05,2.6404639016291806e-05,0.02421878937450752,3.714676883164441e-05,1.2736865799453554e-20,1.7829016407007445e-20,-1.0323159564645509e-07,6.539495815504717e-08,-0.00018410475540032677,7.633579037060988e-08,0.0001841056085347119,7.635012331177741e-08,2.7329054504542405e-07,2.326802221779461e-07,-2.5513429080381107e-05,4.012454106177829e-05,-4.951841433794085e-05,3.5910821835506685e-05,0.0004025738436764236,2.5703205574260757e-05,-2.9489295200705278e-21,3.5246078486320786e-21,-1.7393448487909675e-06,9.905294731014948e-07,-8.281495756810901e-07,9.753409492594377e-07,1.0605733252009686e-05,6.328197051078668e-07,2.0685642577622388e-22,1.478974649701056e-22
10,0.015339807878856412,7560000.0,0,72,0.02424515002844256,2.8350284085586836e-05,2.2586175618311963e-05,2.121653958802941e-05,0.024245818713527406,2.8361459449278324e-05,-1.650145667613933e-20,2.0171502948497963e-20,-5.3527984646876034e-08,5.3058614833409244e-08,-0.00018403529870851879,7.975962454124963e-08,0.00018403584926015142,7.976875823126627e-08,-1.913753809325028e-07,2.569224296228636e-07,-3.0314205072507635e-05,3.963080660887942e-05,-2.138068045986507e-05,3.543113293058342e-05,0.00039234516166067156,2.602408028596002e-05,-3.380288891357439e-21,3.579647440072354e-21,-4.866360527492532e-07,9.830552515106856e-07,-8.145330941919482e-08,8.60137952944757e-07,9.755717140787874e-06,6.076056921600805e-07,-3.8430198532833994e-22,1.8550111592921676e-22
10,0.015339807878856412,7600000.0,0,72,0.024200037218512764,3.461863779912897e-05,2.5528141659255998e-05,2.0735059182310403e-05,0.024200682023578283,3.4612247120603006e-05,5.646886315028668e-21,1.643420664707581e-20,5.364267934097408e-08,5.628252642712662e-08,-0.00018420364434898145,8.727291967772015e-08,0.0001842042619263686,8.72943378144623e-08,-2.005135536361038e-07,2.4937546593841037e-07,-3.91707681067868e-05,2.989292525588901e-05,-5.940044813082544e-06,3.0726320996056955e-05,0.0003246276281129801,1.9378656335049016e-05,2.7293283855971886e-21,3.737167886970117e-21,-2.883650981254003e-07,1.0494857020577868e-06,1.259773370034948e-06,8.732598012148145e-07,1.0504553080689034e-05,5.773757437788465e-07,5.097883478845326e-23,1.680065625527744e-22
10,0.015339807878856412,7640000.0,0,72,0.024210839897589286,3.0221231906740587e-05,2.183349538448211e-05,1.9140556854153412e-05,0.024211387644878006,3.0213117585527998e-05,-4.009289283670356e-20,1.8836298044634002e-20,4.8276722129049255e-08,5.577423831676268e-08,-0.00018400401725903695,9.585999693747568e-08,0.00018400462352855898,9.586606347070604e-08,-2.1289749021556558e-07,2.324794996688931e-07,2.9549141881424162e-05,3.36565443558432e-05,-3.7459743574333815e-05,3.056166616384458e-05,0.0003481490307128581,1.9791129102958027e-05,-6.650777215478212e-21,3.1641112259610447e-21,-1.179195478202157e-06,1.1587499508157064e-06,-9.936862019574544e-07,9.206050499621809e-07,1.1289198811076071e-05,6.547462363119591e-07,-4.901811037351276e-23,1.4509864464242075e-22
10,0.015339807878856412,7680000.0,0,72,0.024221569054198054,3.2830633125213e-05,-4.5881959681144114e-06,2.2085594123284942e-05,0.02422228384397972,3.283616612006527e-05,-1.7128888488920298e-20,1.9907700389124358e-20,-2.151723028583376e-08,5.8080004684421695e-08,-0.00018411697402420497,7.992454852887803e-08,0.00018411762580491508,7.99208614515154e-08,-2.542939429514039e-07,2.2871655211490816e-07,1.9471093761330077e-05,3.534511250939545e-05,-4.719237873979396e-05,3.088624457265663e-05,0.0003415211483485919,2.443715197537864e-05,1.5685795319524082e-21,3.55835505110963e-21,-1.0563823300369751e-06,9.60155771034646e-07,4.1815880045698875e-07,1.0502271422544422e-06,1.0443086919151638e-05,7.120585413915181e-07,8.431114984244191e-23,1.3717790227945156e-22
10,0.015339807878856412,7720000.0,0,72,0.024146105111391446,3.109888652140132e-05,-2.0676609297481233e-05,2.482894525487242e-05,0.024147019022017213,3.1112867840607675e-05,-2.82658031657824e-20,2.2260727659100058e-20,-5.140102991131117e-09,6.700121207533219e-08,-0.00018417456182372172,8.960370526801459e-08,0.00018417542695301924,8.961051004314375e-08,-2.9265664096400673e-07,2.3042308440394012e-07,-2.452240070529131e-05,3.545192389709987e-05,-4.930498863350525e-05,3.231295767791111e-05,0.0003622984028494628,2.224726392677103e-05,4.321436610528884e-21,3.3250247622102292e-21,4.949277429303842e-07,9.37824416451758e-07,-1.9746711665785905e-07,1.084186616106293e-06,1.0771993944535119e-05,6.516645671221314e-07,-7.646825218267989e-23,1.6683952119728718e-22
10,0.015339807878856412,7760000.0,0,72,0.024144882985118233,3.5181563588153116e-05,7.298571222316199e-06,2.0546181604797077e-05,0.02414550440816576,3.5184935374795265e-05,-1.5058363506743115e-20,1.9481223072873035e-20,-1.8278709024819724e-08,6.1814160504722e-08,-0.0001840400132861222,8.261556201590837e-08,0.0001840407519623329,8.259270801741429e-08,-1.9585208021115e-07,2.3566838249750708e-07,-4.634593796215595e-05,3.774115601924822e-05,1.8714687111231106e-05,4.147364443115209e-05,0.0004257412441282121,2.5034933163188416e-05,2.4469840698457557e-21,3.553404296570232e-21,-2.709910125654185e-07,9.362130668865828e-07,3.0654631946629396e-07,9.72636100075883e-07,9.966782399656165e-06,6.525063654878523e-07,2.2058149668080768e-23,1.7844032655454135e-22
10,0.015339807878856412,7800000.0,0,72,0.024205393784651096,3.4641686617522424e-05,-1.2506584984012423e-05,2.2439096598383314e-05,0.024206134588684973,3.465030215914099e-05,-1.0791827179832572e-20,1.7627753275731428e-20,6.310528822802062e-08,6.576627537365494e-08,-0.00018404155485176604,7.510494884018604e-08,0.00018404239980919818,7.511023849375486e-08,1.8078948325776292e-07,2.0965270481907288e-07,4.476340384550554e-05,3.88364128981541e-05,-2.690119991877155e-06,3.716498721338748e-05,0.00040958412705742307,2.3558907908009726e-05,-5.0194545022477e-22,3.568391339384852e-21,2.849938785091638e-06,8.920718206782584e-07,1.1526679642344365e-06,9.761308647991845e-07,1.0632995153082666e-05,5.378947496379365e-07,-8.038970101256092e-23,1.4580669407882034e-22
10,0.015339807878856412,7840000.0,0,72,0.024190942411274893,3.5127377750477414e-05,-1.4898340907572808e-05,2.5101277626177716e-05,0.024191869874504918,3.5144202822417763e-05,4.3920226894667364e-21,1.94516860569399e-20,-1.243249435759528e-07,5.931962821657363e-08,-0.00018405283773543867,8.527409825552583e-08,0.00018405355853765644,8.527086780746042e-08,-5.1604736049230825e-08,2.342328768876311e-07,4.620991779307461e-05,3.3857408106518134e-05,-2.3386300857934275e-05,3.414237901181296e-05,0.0003577683220386007,2.3388319711443836e-05,-3.4508749702952933e-22,3.479586463248369e-21,-1.2501436700332767e-06,9.839656065166041e-07,1.6067782423151285e-06,8.525334613818709e-07,1.0041519156406117e-05,5.772397089847875e-07,1.1274165385907929e-22,1.739657142339352e-22
10,0.015339807878856412,7880000.0,0,72,0.024156727662279272,3.0572061880743305e-05,1.6084759834628153e-05,2.285152452221131e-05,0.024157501435812828,3.056056344728085e-05,3.319114289611296e-20,1.9355230498570593e-20,7.920742829263393e-08,5.984863660939457e-08,-0.00018421057061443618,8.89735159269447e-08,0.00018421127749416088,8.898585397760314e-08,1.3460336845550837e-07,2.515831273535672e-07,-1.5557562294233866e-05,3.845832111050247e-05,-4.2727016188577605e-05,3.537265262474673e-05,0.0003945463643381467,2.3809620556832522e-05,8.313471519347763e-21,4.000773975362628e-21,2.645428146610154e-06,8.458989896043152e-07,-1.593773205864355e-07,9.922679926005376e-07,9.960669256031568e-06,6.337765293901357e-07,3.3332315053988684e-23,1.692823429406689e-22
