nk,sample,steady_blocks,psi[0]_sin,psi[0]_cos,psi[0]_amp,Jpsi[0]_y_sin,vx_sin,pi_xy_sin,psi[0]_mean,Jpsi[0]_y_cos,Jpsi[0]_y_amp,Jpsi[0]_y_mean,vx_cos,vx_amp,vx_mean,pi_xy_cos,pi_xy_amp,pi_xy_mean
16,7,251,0.027392443913399303,-1.5765978542935212e-06,0.027392749667261934,-7.366604731048624e-09,3.2633871884247855e-05,-9.804880145120752e-07,-1.5613303197728666e-21,-0.00029452293550689983,0.00029452312750348296,-6.533217749400264e-08,1.9949665739555878e-05,0.0002949443209050178,-1.084382152925824e-21,4.844260006083914e-07,1.1062794127548836e-05,2.952804098994075e-23
16,8,251,0.027408703326283517,-5.0901222840991516e-08,0.027409028780199168,-4.590021192859902e-10,7.57697443845694e-06,1.8722993904336987e-07,9.76393888734046e-22,-0.0002945343180842875,0.0002945344956250832,-2.6424206642812843e-07,2.3799579399050822e-05,0.00032203034278095705,-8.279100254703382e-22,-1.3416160173881905e-06,9.560755902943026e-06,-9.84268032998026e-24
16,9,251,0.02737519371835499,9.546341197130578e-06,0.027375541966550027,-7.403006304655905e-09,8.436968632580797e-06,3.5709743843044903e-07,-1.1239778497961444e-20,-0.00029452315741260285,0.00029452335200316277,-3.035122971354731e-07,1.4649001348099092e-05,0.0002884002134400258,4.544506118070882e-22,-2.166472396246584e-07,1.0882509505091846e-05,-8.98496104408197e-23
16,10,251,0.02741413930126844,-1.2126144849337464e-05,0.02741448537021774,-1.6105681823085995e-10,-1.914874838252926e-05,-8.141826913105348e-07,4.7694816684704276e-21,-0.0002945263875477844,0.0002945265815827022,-5.349273905024757e-07,-1.1472927041197647e-05,0.00029237277777016544,6.479295851506999e-22,4.101981546200199e-07,1.0901094694177639e-05,9.308363397781322e-23
16,11,251,0.027442483011495104,-1.4217398193763508e-05,0.027442771495800027,-2.9394692055631665e-09,1.5111370819876807e-05,-1.126385846613014e-07,5.336420055477296e-21,-0.0002945207449313375,0.00029452095161560407,2.5026885158625405e-07,-4.462583583326874e-06,0.00028337632963641523,5.759374090228446e-22,5.092827233390414e-07,1.0056472055347773e-05,-5.793120422788377e-23
16,12,251,0.027368437119998694,-1.5603635427957742e-05,0.027368777726318964,6.421543748547613e-10,1.3286552144560973e-05,-2.2010476406344527e-07,2.0085817139671696e-20,-0.00029453093919116146,0.00029453113211990486,1.0501731043790119e-07,-1.8914319707232363e-05,0.0003144685899839784,9.898924217580137e-22,-7.756562529990378e-08,1.0176605566486601e-05,3.346511312193285e-23
16,13,251,0.02743477813899054,9.787881125178411e-06,0.02743505898553905,-9.243523791327114e-10,-9.205987289206829e-06,2.522925167258827e-07,-1.0780828375146368e-20,-0.0002945191699890128,0.00029451937313309883,-5.299406151469168e-08,-9.9339199696397e-06,0.0002867264420334749,4.094555017271784e-22,9.077350576386103e-07,1.0567406641471088e-05,4.2182915699915384e-24
16,14,251,0.027467713805505417,-1.0391422244575665e-05,0.027468025219424652,7.860485443539725e-10,2.433931231369784e-06,-2.148662864159056e-07,-1.9887838655320096e-20,-0.0002945222365984265,0.0002945224373347892,-1.0973746268402913e-07,1.637190450312281e-05,0.0003223353502375619,1.0663841088938604e-21,-1.1228096546032871e-07,1.147554749545329e-05,3.6277307501927197e-23
16,15,251,0.02742809937701622,-7.867615722109748e-06,0.027428369420859418,2.0915103108118636e-09,-5.116668545390715e-06,9.373688831434013e-07,-8.37808949687919e-21,-0.0002945273026405961,0.00029452750041992603,1.1299957524115654e-07,-4.054397372854374e-06,0.00030161930817870433,-1.1788718840936347e-21,4.842239147575792e-07,1.0513915758640906e-05,-6.07433986078781e-23
16,16,251,0.02742157881959524,1.0222813081164945e-05,0.02742189723354605,6.920475467572999e-09,-1.1267932511505457e-05,-2.5821341238076563e-07,-1.2688621042534538e-20,-0.00029452446110890334,0.0002945246408321336,-3.497686812780105e-08,1.4889288683609203e-05,0.00030207598620439463,-1.2148679721575583e-22,-3.217495934152409e-07,1.057077515041296e-05,3.2621454807934536e-23
