mode_index,kx,ky,k_abs,tau_min,tau_max,S_last,S_tail_mean,S_tail_sem,S_tail_std,tail_points,sample_count_min
31,7.8539816339744828e-01,7.8539816339744828e-01,1.1107207345395915e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.2104200884820511e-01,3.2251417231625490e-01,1.3957016306490452e-03,9.1428518859740845e-04,10,1152
32,8.0994185600361857e-01,8.0994185600361857e-01,1.1454307574939537e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.1056382851051140e-01,3.1191725825447886e-01,1.3304288276232963e-03,8.8537684388756183e-04,10,1152
33,8.3448554860978885e-01,8.3448554860978885e-01,1.1801407804483162e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0445837208728821e-01,3.0847816573122000e-01,1.2720958255179955e-03,1.8931618919247589e-03,10,1152
34,8.5902924121595903e-01,8.5902924121595903e-01,1.2148508034026781e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.1252402491379511e-01,3.1187289377729310e-01,1.2270144165285820e-03,8.4650340575512836e-04,10,1152
35,8.8357293382212931e-01,8.8357293382212931e-01,1.2495608263570404e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0968986211746080e-01,3.1131026921012334e-01,1.2690844326930257e-03,1.0916377558588240e-03,10,1152
36,9.0811662642829960e-01,9.0811662642829960e-01,1.2842708493114028e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0350770209898220e-01,3.0541518534074158e-01,1.3062496582593021e-03,1.1018308423240801e-03,10,1152
37,9.3266031903446978e-01,9.3266031903446978e-01,1.3189808722657648e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0921481651552490e-01,3.0781210463621556e-01,1.2544687272533263e-03,7.3596241221718026e-04,10,1152
38,9.5720401164064006e-01,9.5720401164064006e-01,1.3536908952201272e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0005832142336003e-01,3.0210446428360138e-01,1.2817107948748102e-03,2.9579422919167411e-03,10,1152
39,9.8174770424681035e-01,9.8174770424681035e-01,1.3884009181744894e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0799879436633187e-01,3.0752413444766258e-01,1.3167717667882726e-03,5.9116688893696273e-04,10,1152
40,1.0062913968529805e+00,1.0062913968529805e+00,1.4231109411288516e+00,1.0000000000000000e+02,5.0000000000000000e+03,3.0665193838518057e-01,3.0588338487485978e-01,1.2350900614110827e-03,7.1184248459067105e-04,10,1152
