k,count,transfer_mean,transfer_std,transfer_sem,dissipation_mean,dissipation_std,dissipation_sem,production_mean,production_std,production_sem,total_mean,total_std,total_sem
1.0124273200045232e-01,1.1320000000000000e+03,4.6945761523266243e-15,2.0143472981326700e-16,7.1217931708720550e-17,-3.8772374164982036e-13,2.4190169151262978e-16,8.5525163224538409e-17,3.8287005624374363e-13,5.3211457206918602e-17,1.8813091113914963e-17,-1.5910925375012215e-16,3.3591004831290495e-17,1.1876213651537794e-17
1.0162622719742373e-01,1.0800000000000000e+03,4.4461713016877253e-15,1.8619596520726897e-16,6.5830214813817178e-17,-3.6711147828662423e-13,1.8950202453313905e-16,6.6999083297981058e-17,3.6249442682691530e-13,8.5996326924519277e-17,3.0404292962731425e-17,-1.7088015802120878e-16,3.6754939924076135e-17,1.2994833631209200e-17
1.0200972239439514e-01,1.0200000000000000e+03,4.1502713123030124e-15,1.7699314446261375e-16,6.2576526336522198e-17,-3.4418808916070718e-13,1.8322101627190165e-16,6.4778411530876210e-17,3.3987168252954956e-13,3.7422241654679367e-17,1.3230760420612732e-17,-1.6613531885459529e-16,2.5461162559792765e-17,9.0018803514612488e-18
1.0239321759136655e-01,1.1080000000000000e+03,4.4955613249902936e-15,1.8913386374258882e-16,6.6868918802198519e-17,-3.7109519415589921e-13,1.8366537147328164e-16,6.4935514818951857e-17,3.6641683046552285e-13,8.5303625649097039e-17,3.0159386078137610e-17,-1.8280236538605127e-16,4.5688170558629563e-17,1.6153207611007268e-17
1.0277671278833796e-01,1.0320000000000000e+03,4.1250070141834194e-15,1.7596785406252100e-16,6.2214031439226672e-17,-3.4294162079304425e-13,1.7088717015739680e-16,6.0417738418037339e-17,3.3864989170806691e-13,3.8226179126286367e-17,1.3514995239524371e-17,-1.6672207079392154e-16,3.3922245585949426e-17,1.1993324943450134e-17
1.0316020798530937e-01,1.0040000000000000e+03,3.9883818130181897e-15,1.6896009064625312e-16,5.9736412922929670e-17,-3.3118770228100028e-13,1.5778394643551272e-16,5.5785049243463010e-17,3.2704492887315417e-13,5.9595243300515774e-17,2.1070100332128434e-17,-1.5439159482794021e-16,3.0001728257269889e-17,1.0607212749015799e-17
1.0354370318228077e-01,9.7200000000000000e+02,3.8338896785711738e-15,1.6187943712250499e-16,5.7233023861992308e-17,-3.1828002331754396e-13,1.6447568362099805e-16,5.8150935614350437e-17,3.1427531675619082e-13,5.7581255688330024e-17,2.0358048183227311e-17,-1.7081688278196418e-16,2.2366471734463275e-17,7.9077419173281115e-18
1.0392719837925218e-01,9.4400000000000000e+02,3.6864953834759841e-15,1.5801827805378523e-16,5.5867897981626458e-17,-3.0684744731895319e-13,1.4573712049406154e-16,5.1525853085975942e-17,3.0299909739429904e-13,2.2131790088399081e-17,7.8247694256521049e-18,-1.6185454117818588e-16,1.8359804578652750e-17,6.4911711594125912e-18
1.0431069357622361e-01,9.8800000000000000e+02,3.8315870683206628e-15,1.6216308982142631e-16,5.7333310235446872e-17,-3.1879316223124052e-13,1.5025343043229785e-16,5.3122609777609485e-17,3.1481884159405981e-13,2.9308889757849911e-17,1.0362257348412310e-17,-1.4273356886001869e-16,2.9574429169589288e-17,1.0456139707768910e-17
1.0469418877319502e-01,9.0000000000000000e+02,3.4644578952540794e-15,1.4769109789229090e-16,5.2216688420262550e-17,-2.8826390343473356e-13,1.2972731078009257e-16,4.5865530578849083e-17,2.8466202346209169e-13,7.6422468056653896e-17,2.7019422698936140e-17,-1.3742207738778828e-16,3.9182200527270747e-17,1.3852999847322130e-17
1.0507768397016642e-01,9.2400000000000000e+02,3.5159634516600826e-15,1.5011483035105689e-16,5.3073607248950240e-17,-2.9378636136360967e-13,1.4961595997395802e-16,5.2897229935660387e-17,2.9010085408538202e-13,5.3380922107033992e-17,1.8873006003937311e-17,-1.6954382656758662e-16,2.8659127863023610e-17,1.0132531827418161e-17
1.0546117916713783e-01,8.9600000000000000e+02,3.3825445931301392e-15,1.4454897987206903e-16,5.1105781940568887e-17,-2.8282828755231376e-13,1.6251772950913492e-16,5.7458694299475186e-17,2.7929853058129136e-13,3.8005075715319711e-17,1.3436823378905371e-17,-1.4721237789230708e-16,2.0907372192455383e-17,7.3918723270381284e-18
1.0584467436410924e-01,8.6800000000000000e+02,3.2506760057968881e-15,1.3760595798260380e-16,4.8651053010585137e-17,-2.7199278121803402e-13,1.3650357473639079e-16,4.8261301676153305e-17,2.6858765027870002e-13,4.3113605795434314e-17,1.5242961509677617e-17,-1.5445493353712201e-16,2.7786675128082968e-17,9.8240732048475227e-18
1.0622816956108065e-01,8.9200000000000000e+02,3.3069394061101823e-15,1.4158061235969657e-16,5.0056305542042678e-17,-2.7746479481590598e-13,1.4754806921204123e-16,5.2166120145408205e-17,2.7400819940429514e-13,4.3601446109019328e-17,1.5415439106613685e-17,-1.4965600550067353e-16,2.9871471977663941e-17,1.0561160199715051e-17
1.0661166475805206e-01,8.0800000000000000e+02,2.9767629016284449e-15,1.2686046371020061e-16,4.4851947076976383e-17,-2.4954467548845216e-13,1.3076488090291941e-16,4.6232367013752788e-17,2.4640622187118474e-13,3.1310138019418410e-17,1.1069805456708747e-17,-1.6169071563898871e-16,2.0369540403066247e-17,7.2017200743307518e-18
1.0699515995502347e-01,8.2000000000000000e+02,2.9959013381763273e-15,1.2970315549413199e-16,4.5856990395596963e-17,-2.5147687151348993e-13,1.3805402614507860e-16,4.8809469028645000e-17,2.4832501978469638e-13,1.7422953645352787e-17,6.1599443354639165e-18,-1.5595039061723754e-16,1.2717450852067578e-17,4.4962978684518102e-18
1.0737865515199488e-01,8.5200000000000000e+02,3.0669581791367463e-15,1.3247997164734543e-16,4.6838743161619748e-17,-2.5939184167444054e-13,1.3816935072609492e-16,4.8850242425282066e-17,2.5617540564126858e-13,5.4599692520832808e-17,1.9303906416090648e-17,-1.4947785403519610e-16,2.5253853527693573e-17,8.9285855402619697e-18
1.0776215034896629e-01,7.9600000000000000e+02,2.8514157159356609e-15,1.2262681962411050e-16,4.3355127855774067e-17,-2.4060195183680127e-13,1.2394619729564183e-16,4.3821598305017022e-17,2.3760712483387437e-13,3.5699478796166378e-17,1.2621671770797305e-17,-1.4341128699123033e-16,2.5031637517695436e-17,8.8500203164830197e-18
1.0814564554593770e-01,7.8400000000000000e+02,2.7931732631193412e-15,1.2071217533954750e-16,4.2678198877186782e-17,-2.3530834579908984e-13,1.2208725087574282e-16,4.3164361495330502e-17,2.3236557747558352e-13,4.2461655429488326e-17,1.5012462247298889e-17,-1.4959506038695048e-16,2.3940085527270319e-17,8.4640984092593834e-18
