k,count,transfer_mean,dissipation_mean,production_mean,total_mean,transfer_sem,dissipation_sem,production_sem,total_sem
8.8970885697367191e-02,1.4480000000000000e+03,8.2617946878902432e-15,-6.4254218935579582e-13,6.3417580085225102e-13,-1.0459381565451601e-16,1.1682547806707152e-16,1.4093370331280303e-16,4.5012904640329968e-17,2.2248325975508595e-17
8.9354380894338600e-02,1.4880000000000000e+03,8.4147901401269431e-15,-6.5459742914460541e-13,6.4605082692775404e-13,-1.3181207672436917e-16,1.1974539841250375e-16,1.2443681385651635e-16,3.3004159844187278e-17,1.3838545686725161e-17
8.9737876091310009e-02,1.4600000000000000e+03,8.1744836718216049e-15,-6.3675470783222150e-13,6.2843287887343995e-13,-1.4734528695988901e-16,1.1593121908211625e-16,9.6862712342606820e-17,3.3326773205311253e-17,1.7382996384309844e-17
9.0121371288281418e-02,1.4560000000000000e+03,8.0744600357220285e-15,-6.2962853216112841e-13,6.2143895249584193e-13,-1.1511962956438495e-16,1.1389835129088130e-16,1.2317396300594135e-16,3.7539029122444478e-17,1.7142876366080173e-17
9.0504866485252827e-02,1.4720000000000000e+03,8.0888797613442267e-15,-6.3128990458830449e-13,6.2303022896501489e-13,-1.7079586194532418e-16,1.1601154393931997e-16,1.1832910066793618e-16,2.8614426447529867e-17,1.6370433768579625e-17
9.0888361682224236e-02,1.4920000000000000e+03,8.1161853671210804e-15,-6.3438188976978395e-13,6.2612440392673429e-13,-1.4130047592848619e-16,1.1531397149594612e-16,1.2260173593883169e-16,3.0251942808341514e-17,1.0909065996535421e-17
9.1271856879195645e-02,1.5200000000000000e+03,8.1848518060113853e-15,-6.4083652433745129e-13,6.3251618053707344e-13,-1.3549199436642616e-16,1.1653205932417603e-16,1.1386298839654791e-16,3.8370635813420818e-17,1.4318785517569675e-17
9.1655352076167054e-02,1.4960000000000000e+03,7.9784032097723093e-15,-6.2546267027070145e-13,6.1734143151341471e-13,-1.4283554751437717e-16,1.1409734848628272e-16,1.1249083931946185e-16,2.3012648265189791e-17,2.2021545371204974e-17
9.2038847273138463e-02,1.4880000000000000e+03,7.8523038036494231e-15,-6.1690452301975639e-13,6.0885829322552924e-13,-1.9392599057776677e-16,1.1187762314158436e-16,1.1896920025224551e-16,3.3015083550460625e-17,1.6879181571676177e-17
9.2422342470109886e-02,1.5240000000000000e+03,7.9645613821157983e-15,-6.2666220015911204e-13,6.1853093505419791e-13,-1.6670372279836834e-16,1.1315851350083091e-16,1.1930767693968461e-16,3.1825221830142979e-17,2.0173189869906913e-17
9.2805837667081295e-02,1.4960000000000000e+03,7.7309009132455419e-15,-6.1009518784708309e-13,6.0218704955919563e-13,-1.7723737464195041e-16,1.1109075368439018e-16,1.1285895896633942e-16,1.4652673935600227e-17,1.1156115615337575e-17
9.3189332864052704e-02,1.5360000000000000e+03,7.8634356925789147e-15,-6.2127884830175892e-13,6.1324508283083346e-13,-1.7032977834628386e-16,1.1193820705568384e-16,1.3341512461414685e-16,2.5434220390581362e-17,1.4769624875321841e-17
9.3572828061024113e-02,1.5560000000000000e+03,7.8781591772265184e-15,-6.2417863539420172e-13,6.1611977475434581e-13,-1.8070146262926915e-16,1.1341452882007057e-16,9.5912251241219797e-17,2.7491534612879171e-17,2.0790026395438328e-17
9.3956323257995522e-02,1.5360000000000000e+03,7.6901353121258815e-15,-6.1104414651047100e-13,6.0316450082859223e-13,-1.8951036975293678e-16,1.1056757310203967e-16,1.2456537101838848e-16,2.6865817662784829e-17,1.2731242037440101e-17
9.4339818454966931e-02,1.5760000000000000e+03,7.8068111484237503e-15,-6.2178176207554942e-13,6.1381494583702466e-13,-1.6000509010103110e-16,1.1262159145947474e-16,9.6844585711751748e-17,2.8959675672253807e-17,1.1882416929449419e-17
9.4723313651938340e-02,1.5120000000000000e+03,7.4013774862009027e-15,-5.9172340082864370e-13,5.8415843524097693e-13,-1.6358810146585848e-16,1.0704457720956102e-16,1.1278157843760950e-16,2.7955771423786507e-17,1.3321746486384116e-17
9.5106808848909749e-02,1.5640000000000000e+03,7.5692867289836665e-15,-6.0715479497169713e-13,5.9940622087035270e-13,-1.7928737236080143e-16,1.1050460808234453e-16,1.1070964943720891e-16,2.0433673543141317e-17,1.9245780894898402e-17
9.5490304045881158e-02,1.5360000000000000e+03,7.3441147905939705e-15,-5.9154099307270557e-13,5.8401796909831726e-13,-1.7890918379429763e-16,1.0807098384136282e-16,1.2030206751045058e-16,4.2239474480034499e-17,1.5654258302721481e-17
9.5873799242852567e-02,1.6080000000000000e+03,7.5998207202844628e-15,-6.1428934999692486e-13,6.0648848033856662e-13,-2.0104893807373319e-16,1.1142067645218754e-16,1.1709399243126583e-16,1.9146310472585327e-17,1.6846481078074500e-17
9.6257294439823990e-02,1.5720000000000000e+03,7.3233615436934575e-15,-5.9565737790442471e-13,5.8811298525629371e-13,-2.2103110443756837e-16,1.0863256572841257e-16,1.2835248561999729e-16,2.6497893984499485e-17,1.2222419457467669e-17
9.6640789636795399e-02,1.5840000000000000e+03,7.2742608652062199e-15,-5.9542915149878900e-13,5.8796679767375449e-13,-1.8809295982825524e-16,1.0762613843604062e-16,9.5500518694420661e-17,2.0877461642639542e-17,1.3573147100372123e-17
9.7024284833766808e-02,1.5680000000000000e+03,7.0841102969286085e-15,-5.8470597906460643e-13,5.7741114375908274e-13,-2.1072500859509581e-16,1.0537632539458668e-16,1.0613730152306898e-16,3.0485684210292829e-17,1.7379227315520507e-17
9.7407780030738217e-02,1.5960000000000000e+03,7.0883021931500825e-15,-5.9039650894485275e-13,5.8311580871624500e-13,-1.9239803545766405e-16,1.0808990727785389e-16,1.1240096629813142e-16,1.2533532928233719e-17,1.1357289008389517e-17
9.7791275227709626e-02,1.6240000000000000e+03,7.0508165754581344e-15,-5.9596609634310177e-13,5.8872676508058117e-13,-1.8851468706260811e-16,1.0846759322420678e-16,1.0653143112049940e-16,1.8349889322204652e-17,1.2164984522530760e-17
9.8174770424681035e-02,1.4760000000000000e+03,6.4032047596215049e-15,-5.3753934939454790e-13,5.3094865277839113e-13,-1.8749185653523837e-16,9.7510159163053809e-17,8.1022867733362839e-17,3.0966909406175403e-17,1.4261994021803095e-17
