time,E_K_mean,psi2_mean,dissipation_mean,production_mean,length_mean,E_K_sem,psi2_sem,dissipation_sem,production_sem,length_sem
2.0529152000000000e+07,1.3049944913498971e+05,7.1685553187714511e+04,9.1621856191195784e-10,9.0243938939536562e-10,6.3171598114772169e+03,6.2196759763798866e+01,1.8961561387779668e+04,4.9104053730434360e-11,4.0132742708106206e-11,6.5418380439967711e+02
2.0545536000000000e+07,1.3036696189227553e+05,7.1564874421910019e+04,9.1684509568652978e-10,8.9674814379406201e-10,6.3167569072991246e+03,1.7755572939762203e+02,1.8880969874899612e+04,4.8856550388559458e-11,4.5210058421614772e-11,6.5073863348226723e+02
2.0561920000000000e+07,1.3060518391392706e+05,7.1360088280434997e+04,9.1236854897019268e-10,8.8609000908012515e-10,6.3281086138209384e+03,1.5204452994049657e+02,1.8776993124233180e+04,4.8036283095196122e-11,3.3900011097240245e-11,6.5017266812580169e+02
2.0578304000000000e+07,1.3048115376000636e+05,7.1104252990953275e+04,9.1003927400618909e-10,8.7560255810492538e-10,6.3294633289582671e+03,9.1466446105275807e+01,1.8619611161719189e+04,4.7262199684837211e-11,3.0731835927983898e-11,6.4493487128361744e+02
2.0594688000000000e+07,1.3053737233812366e+05,7.0760050355216095e+04,9.0577878205314944e-10,8.5773898562658642e-10,6.3379716100498144e+03,1.3216660840057469e+02,1.8440418160870719e+04,4.4695177816795236e-11,2.3162542290042501e-11,6.4712263166061007e+02
2.0611072000000000e+07,1.3080733022032099e+05,7.0385709291390245e+04,9.0404707680402270e-10,8.7581830909577206e-10,6.3332049835916332e+03,1.1251181979880408e+02,1.8235033256655202e+04,4.3501446995664540e-11,2.0076724551610131e-11,6.4175665340835258e+02
2.0627456000000000e+07,1.3063775869109060e+05,7.0131398514264933e+04,9.0949460795401445e-10,8.7652252302443396e-10,6.3121696025454403e+03,1.1190677401619001e+02,1.8048132954084893e+04,4.0488779830222311e-11,1.9514140078453449e-11,6.4464947456935329e+02
2.0643840000000000e+07,1.3061114298235983e+05,6.9833968084546548e+04,9.1686603744617550e-10,8.8165045622482940e-10,6.2763688929124228e+03,1.6562933220401132e+02,1.7864242353007230e+04,4.1162723700182621e-11,1.9263163824638858e-11,6.3240806763489218e+02
2.0660224000000000e+07,1.3052659801413245e+05,6.9556818517366090e+04,9.1724851587578855e-10,8.8903896449162659e-10,6.2715875593841392e+03,1.9106776530151564e+02,1.7649679274078338e+04,3.9546241743685722e-11,2.0400597096986146e-11,6.3260783249637802e+02
2.0676608000000000e+07,1.3058609598242168e+05,6.9303248918804078e+04,9.1444556250166068e-10,8.8532177975764235e-10,6.2745373277567205e+03,1.7400489464482774e+02,1.7494901835872548e+04,3.9184901683797557e-11,2.2935357114140529e-11,6.2962128893427519e+02
2.0692992000000000e+07,1.3047353629530090e+05,6.9040625108175940e+04,9.1474385225144767e-10,8.8004263587636523e-10,6.2685639529536620e+03,1.1469714881513410e+02,1.7321084755588279e+04,3.8696836165729554e-11,2.8587007443902213e-11,6.2577268056482274e+02
2.0709376000000000e+07,1.3044136847137753e+05,6.8710625544277325e+04,9.1060118689882044e-10,8.7643413122494223e-10,6.2659338654907224e+03,1.3819478917435967e+02,1.7179748948974338e+04,4.1825813599206662e-11,2.6955428456544991e-11,6.0803287226653492e+02
2.0725760000000000e+07,1.3053944602834087e+05,6.8415603427027076e+04,9.0939743312959681e-10,8.7781113854645362e-10,6.2603990985771070e+03,8.3655479168708339e+01,1.7016767478621776e+04,4.1683446223168738e-11,3.3326509941054009e-11,5.9988030378158101e+02
2.0742144000000000e+07,1.3046371827665066e+05,6.8193986811856958e+04,9.1996730583623635e-10,8.9219402252577420e-10,6.2190104844451380e+03,1.6601060920442183e+02,1.6861706288390316e+04,4.1946270543114486e-11,3.6289306493570185e-11,5.9088331885330081e+02
2.0758528000000000e+07,1.3059342642003033e+05,6.7961375569873242e+04,9.2017811548107656e-10,8.8644691255374195e-10,6.2105720515386874e+03,1.1325369021058735e+02,1.6744964386912692e+04,4.1182975272059696e-11,3.8530020247889428e-11,5.9165101451867315e+02
2.0774912000000000e+07,1.3057705544587865e+05,6.7679575863804042e+04,9.2078959020436677e-10,8.8855147626201990e-10,6.2001436626787117e+03,1.0330599029072334e+02,1.6635490885244504e+04,3.8893466722266547e-11,3.6280606826533257e-11,5.9672838683174984e+02
2.0791296000000000e+07,1.3068915338683326e+05,6.7340364914974489e+04,9.1750827712015277e-10,8.7963991840170966e-10,6.1968318065965550e+03,6.0086676323978097e+01,1.6559620828285693e+04,3.7653083187946301e-11,3.5444933881201291e-11,5.9965592749693099e+02
2.0807680000000000e+07,1.3061816133645501e+05,6.7027192326167773e+04,9.1839930657412022e-10,8.8291973631392951e-10,6.1826822995167367e+03,2.0631068602780076e+02,1.6505744097818664e+04,3.5627955937853287e-11,4.0798863997690597e-11,6.0960389438408936e+02
2.0824064000000000e+07,1.3071370176737259e+05,6.6699857843384030e+04,9.1560982464097254e-10,8.7736778897904304e-10,6.1744931026506638e+03,1.6939269227392330e+02,1.6480685821831488e+04,3.4964708856935926e-11,4.3898302601832936e-11,6.1360772548467480e+02
